Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<avrora.sim.clock.RippleSynchronizer: void start()>",5,34,1,1,0.85294116,0,13,1.0,214
"<avrora.sim.clock.RippleSynchronizer: void stop()>",6,13,0,0,0.53846157,0,5,1.0,39
"<avrora.sim.clock.RippleSynchronizer: void synch(long)>",1,8,0,1,0.875,0,5,1.0,40
"<avrora.sim.clock.RippleSynchronizer: void waitForNeighbors(long)>",3,37,0,2,0.9189189,0,19,1.0,217
"<avrora.sim.output.SimPrinter: void printBuffer(java.lang.StringBuffer)>",2,2947,1,50,0.99932134,0,679,1.0,14260
"<avrora.sim.output.SimPrinter: void println(java.lang.String)>",6,3162,2,68,0.9981025,1,749,0.99866664,15506
"<avrora.sim.platform.SerialLogger: void receiveFrame(avrora.sim.mcu.USART$Frame)>",3,5819,1,98,0.9994844,0,1324,1.0,28119
"<avrora.sim.radio.Medium$Receiver: avrora.sim.radio.Medium$Transmission earliestNewTransmission(long)>",7,7,0,0,0.0,0,0,0.0,8
"<avrora.sim.radio.Medium$Receiver: java.util.List getIntersection(long)>",6,10,0,0,0.4,1,4,0.8,29
"<avrora.sim.radio.Medium: avrora.sim.radio.Medium$Transmission newTransmission(avrora.sim.radio.Medium$Transmitter,double,double)>",2,6,0,0,0.6666667,1,1,0.5,41
"<avrora.sim.Simulation: avrora.sim.Simulation$Node createNode(avrora.sim.platform.PlatformFactory,avrora.core.LoadableProgram)>",2,11,0,0,0.8181818,0,8,1.0,53
"<avrora.sim.Simulation: avrora.sim.Simulation$Node getNode(int)>",0,0,0,0,0.0,0,0,0.0,0
"<avrora.sim.Simulation: void join()>",1,1,0,0,0.0,0,0,0.0,0
"<avrora.sim.Simulation: void pause()>",1,1,0,0,0.0,0,0,0.0,0
"<avrora.sim.Simulation: void removeNode(int)>",2,95,0,2,0.97894734,0,38,1.0,453
"<avrora.sim.Simulation: void resume()>",1,8,0,1,0.875,0,5,1.0,40
"<avrora.sim.Simulation: void start()>",2,6962,0,84,0.9997127,0,1820,1.0,32525
"<avrora.sim.Simulation: void stop()>",1,1,0,0,0.0,0,0,0.0,0
"<avrora.sim.Simulation: void stopNode(int)>",1,8,0,1,0.875,0,5,1.0,40
"<avrora.sim.util.MemPrint: void fireBeforeWrite(avrora.sim.State,int,byte)>",6,6147,3,101,0.9990239,0,1475,1.0,30035
"<cck.stat.Distribution: void record(int)>",5,7,0,0,0.2857143,0,0,0.0,121
"<cck.test.TestEngine: void finishTest(cck.test.TestCase)>",3,2918,0,48,0.9989719,0,649,1.0,14041
"<cck.test.TestEngine: void runAllTests()>",1,1,0,0,0.0,0,0,0.0,0
-,=SUM(B2:B61),=SUM(C2:C61),=SUM(D2:D61),=SUM(E2:E61),=AVERAGE(F2:F61),=SUM(G2:G61),=SUM(H2:H61),=AVERAGE(I2:I61),=SUM(J2:J61)
