Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<org.lwjgl.opengl.ContextGL: void makeCurrent()>",6,11416,1,82,0.9994744,1,1870,0.9994655,55862
"<org.lwjgl.opengl.ContextGL: void releaseCurrent()>",1,2914,0,50,0.99965686,0,654,1.0,13994
"<org.lwjgl.opengl.ContextGL: void releaseDrawable()>",3,9,0,1,0.6666667,1,4,0.8,37
"<org.lwjgl.opengl.ContextGL: void setCLSharingProperties(org.lwjgl.PointerBuffer)>",21,6059,3,101,0.9965341,1,1399,0.9992857,29076
"<org.lwjgl.opengl.ContextGL: void update()>",3,9,0,1,0.6666667,1,4,0.8,37
"<org.lwjgl.opengl.ContextGLES: boolean isCurrent()>",2,8,0,1,0.75,1,4,0.8,34
"<org.lwjgl.opengl.ContextGLES: void <init>(org.lwjgl.opengl.DrawableGLES,org.lwjgl.opengles.ContextAttribs,org.lwjgl.opengl.ContextGLES)>",7,6003,0,103,0.9988339,2,1401,0.9985745,29120
"<org.lwjgl.opengl.ContextGLES: void destroy()>",7,5892,1,99,0.99881196,1,1343,0.99925596,28368
"<org.lwjgl.opengl.ContextGLES: void forceDestroy()>",2,3044,1,51,0.999343,0,706,1.0,14598
"<org.lwjgl.opengl.ContextGLES: void makeCurrent()>",7,183,0,3,0.96174866,1,58,0.9830508,998
"<org.lwjgl.opengl.ContextGLES: void releaseCurrent()>",1,2893,0,48,0.99965435,0,651,1.0,13928
"<org.lwjgl.opengl.Display$2: void componentResized(java.awt.event.ComponentEvent)>",1,1,0,0,0.0,0,0,0.0,3
"<org.lwjgl.opengl.Display$5: void destroy()>",9,17190,0,187,0.99947643,0,3144,1.0,83364
"<org.lwjgl.opengl.Display$6: void destroy()>",9,8819,0,149,0.99897945,0,1984,1.0,42367
"<org.lwjgl.opengl.Display: void create(org.lwjgl.opengl.PixelFormat)>",1,11905,0,94,0.999916,0,1944,1.0,58162
"<org.lwjgl.opengl.Display: void create(org.lwjgl.opengl.PixelFormat,org.lwjgl.opengl.ContextAttribs)>",1,11905,0,94,0.999916,0,1944,1.0,58162
"<org.lwjgl.opengl.Display: void create(org.lwjgl.opengl.PixelFormat,org.lwjgl.opengl.Drawable)>",1,11905,0,94,0.999916,0,1944,1.0,58162
"<org.lwjgl.opengl.Display: void create(org.lwjgl.opengl.PixelFormat,org.lwjgl.opengl.Drawable,org.lwjgl.opengl.ContextAttribs)>",14,9569,0,165,0.99853694,4,2216,0.9981982,46628
"<org.lwjgl.opengl.Display: void create(org.lwjgl.opengl.PixelFormatLWJGL)>",1,3554,0,58,0.9997186,0,831,1.0,17218
"<org.lwjgl.opengl.Display: void create(org.lwjgl.opengl.PixelFormatLWJGL,org.lwjgl.opengl.Drawable)>",1,3554,0,58,0.9997186,0,831,1.0,17218
"<org.lwjgl.opengl.Display: void create(org.lwjgl.opengl.PixelFormatLWJGL,org.lwjgl.opengl.Drawable,org.lwjgl.opengles.ContextAttribs)>",13,9477,0,163,0.99862826,3,2212,0.9986456,46091
"<org.lwjgl.opengl.Display: void create(org.lwjgl.opengl.PixelFormatLWJGL,org.lwjgl.opengles.ContextAttribs)>",1,3554,0,58,0.9997186,0,831,1.0,17218
"<org.lwjgl.opengl.Display: void processMessages()>",3,9,0,1,0.6666667,1,4,0.8,44
"<org.lwjgl.opengl.Display: void setDisplayConfiguration(float,float,float)>",19,7156,0,140,0.9973449,5,1789,0.99721295,39094
"<org.lwjgl.opengl.Display: void setDisplayMode(org.lwjgl.opengl.DisplayMode)>",10,9052,0,151,0.9988953,1,2063,0.99951553,43910
"<org.lwjgl.opengl.Display: void setDisplayModeAndFullscreenInternal(boolean,org.lwjgl.opengl.DisplayMode)>",11,9053,0,151,0.99878496,1,2063,0.99951553,43933
"<org.lwjgl.opengl.Display: void setLocation(int,int)>",3,27,0,0,0.8888889,0,3,1.0,191
"<org.lwjgl.opengl.Display: void setParent(java.awt.Canvas)>",7,9041,0,150,0.99922574,0,2059,1.0,43836
"<org.lwjgl.opengl.Display: void setSwapInterval(int)>",2,2,0,0,0.0,0,0,0.0,10
"<org.lwjgl.opengl.Display: void setTitle(java.lang.String)>",2,2,0,0,0.0,0,0,0.0,10
"<org.lwjgl.opengl.Display: void setVSyncEnabled(boolean)>",1,3,0,0,0.6666667,0,0,0.0,27
"<org.lwjgl.opengl.Display: void swapBuffers()>",4,10,0,1,0.6,1,4,0.8,44
"<org.lwjgl.opengl.Display: void update(boolean)>",11,353,0,11,0.9688385,1,102,0.99029124,1775
"<org.lwjgl.opengl.DrawableGL: void destroy()>",3,22622,1,171,0.9998674,0,3650,1.0,110220
"<org.lwjgl.opengl.DrawableGL: void makeCurrent()>",2,11271,1,81,0.99982256,0,1824,1.0,54996
"<org.lwjgl.opengl.DrawableGL: void releaseContext()>",3,11303,1,85,0.9997346,0,1828,1.0,55113
"<org.lwjgl.opengl.DrawableGL: void setCLSharingProperties(org.lwjgl.PointerBuffer)>",2,2976,1,52,0.99932796,0,675,1.0,14206
"<org.lwjgl.opengl.DrawableGLES: void setPixelFormat(org.lwjgl.opengl.PixelFormatLWJGL)>",0,0,0,0,0.0,0,0,0.0,0
-,=SUM(B2:B73),=SUM(C2:C73),=SUM(D2:D73),=SUM(E2:E73),=AVERAGE(F2:F73),=SUM(G2:G73),=SUM(H2:H73),=AVERAGE(I2:I73),=SUM(J2:J73)
